name,address,size,end,classification,confidence
func_00104020,0x00104020,0x10,0x00104030,code,spimdisasm-explicit-size-before-first-data
func_00104030,0x00104030,0x10,0x00104040,code,spimdisasm-explicit-size-before-first-data
func_00104040,0x00104040,0x10,0x00104050,code,spimdisasm-explicit-size-before-first-data
func_00104050,0x00104050,0x10,0x00104060,code,spimdisasm-explicit-size-before-first-data
func_00104060,0x00104060,0x10,0x00104070,code,spimdisasm-explicit-size-before-first-data
func_00104070,0x00104070,0x10,0x00104080,code,spimdisasm-explicit-size-before-first-data
func_00104080,0x00104080,0x10,0x00104090,code,spimdisasm-explicit-size-before-first-data
func_00104090,0x00104090,0x10,0x001040A0,code,spimdisasm-explicit-size-before-first-data
func_001040A0,0x001040A0,0x10,0x001040B0,code,spimdisasm-explicit-size-before-first-data
func_001040B0,0x001040B0,0x10,0x001040C0,code,spimdisasm-explicit-size-before-first-data
func_001040C0,0x001040C0,0x10,0x001040D0,code,spimdisasm-explicit-size-before-first-data
func_001040D0,0x001040D0,0x10,0x001040E0,code,spimdisasm-explicit-size-before-first-data
func_001040E0,0x001040E0,0x10,0x001040F0,code,spimdisasm-explicit-size-before-first-data
func_001040F0,0x001040F0,0x10,0x00104100,code,spimdisasm-explicit-size-before-first-data
func_00104100,0x00104100,0x10,0x00104110,code,spimdisasm-explicit-size-before-first-data
func_00104110,0x00104110,0x10,0x00104120,code,spimdisasm-explicit-size-before-first-data
func_00104120,0x00104120,0x10,0x00104130,code,spimdisasm-explicit-size-before-first-data
func_00104130,0x00104130,0x10,0x00104140,code,spimdisasm-explicit-size-before-first-data
func_00104140,0x00104140,0x10,0x00104150,code,spimdisasm-explicit-size-before-first-data
func_00104150,0x00104150,0x10,0x00104160,code,spimdisasm-explicit-size-before-first-data
func_00104160,0x00104160,0x10,0x00104170,code,spimdisasm-explicit-size-before-first-data
func_00104170,0x00104170,0x10,0x00104180,code,spimdisasm-explicit-size-before-first-data
func_00104180,0x00104180,0x10,0x00104190,code,spimdisasm-explicit-size-before-first-data
func_00104190,0x00104190,0x10,0x001041A0,code,spimdisasm-explicit-size-before-first-data
func_001041A0,0x001041A0,0x10,0x001041B0,code,spimdisasm-explicit-size-before-first-data
func_001041B0,0x001041B0,0x10,0x001041C0,code,spimdisasm-explicit-size-before-first-data
func_001041C0,0x001041C0,0x10,0x001041D0,code,spimdisasm-explicit-size-before-first-data
func_001041D0,0x001041D0,0x10,0x001041E0,code,spimdisasm-explicit-size-before-first-data
func_001041E0,0x001041E0,0x10,0x001041F0,code,spimdisasm-explicit-size-before-first-data
func_001041F0,0x001041F0,0x10,0x00104200,code,spimdisasm-explicit-size-before-first-data
func_00104200,0x00104200,0x10,0x00104210,code,spimdisasm-explicit-size-before-first-data
func_00104210,0x00104210,0x10,0x00104220,code,spimdisasm-explicit-size-before-first-data
func_00104220,0x00104220,0x10,0x00104230,code,spimdisasm-explicit-size-before-first-data
func_00104230,0x00104230,0x10,0x00104240,code,spimdisasm-explicit-size-before-first-data
func_00104240,0x00104240,0x10,0x00104250,code,spimdisasm-explicit-size-before-first-data
func_00104250,0x00104250,0x10,0x00104260,code,spimdisasm-explicit-size-before-first-data
func_00104260,0x00104260,0xC,0x0010426C,code,spimdisasm-explicit-size-before-first-data
func_00104270,0x00104270,0x90,0x00104300,code,spimdisasm-explicit-size-before-first-data
func_00104300,0x00104300,0xA4,0x001043A4,code,spimdisasm-explicit-size-before-first-data
func_001043A8,0x001043A8,0x7C,0x00104424,code,spimdisasm-explicit-size-before-first-data
func_00104428,0x00104428,0x74,0x0010449C,code,spimdisasm-explicit-size-before-first-data
func_001044A0,0x001044A0,0x28,0x001044C8,code,spimdisasm-explicit-size-before-first-data
func_001044C8,0x001044C8,0x8,0x001044D0,code,spimdisasm-explicit-size-before-first-data
func_001044D0,0x001044D0,0x8,0x001044D8,code,spimdisasm-explicit-size-before-first-data
func_001044D8,0x001044D8,0x8,0x001044E0,code,spimdisasm-explicit-size-before-first-data
func_001044E0,0x001044E0,0xAC,0x0010458C,code,spimdisasm-explicit-size-before-first-data
func_00104590,0x00104590,0x8,0x00104598,code,spimdisasm-explicit-size-before-first-data
func_00104598,0x00104598,0x14,0x001045AC,code,spimdisasm-explicit-size-before-first-data
